Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Anomaly
Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N
Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y
Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N
Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban,N
Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N
Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N
Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N
Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban,Y
Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,N
Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y
Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,Y
Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y
Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y
Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y
Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y
Male,No,0,Graduate,,6782,0,,360,,Urban,N
Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y
